feature,descriptor,group,importance,dataset,model
kmeans6__pairwise_mutual_info_max,pairwise_mutual_info_max,interaction_informational,0.14640500468165654,Taxi,Logistic Regression
kmeans6__total_correlation,total_correlation,interaction_informational,0.17815709786343578,Taxi,Logistic Regression
kmeans6__joint_entropy_pairwise_mean,joint_entropy_pairwise_mean,interaction_informational,0.1943284596309552,Taxi,Logistic Regression
kmeans6__pairwise_js_divergence_mean,pairwise_js_divergence_mean,interaction_informational,0.08570933578184645,Taxi,Logistic Regression
kmeans6__log_count,log_count,base,0.1417095992038884,Taxi,Logistic Regression
kmeans6__density,density,base,0.17354707691625512,Taxi,Logistic Regression
kmeans6__n_beyond_2std,n_beyond_2std,base,0.1959223027144897,Taxi,Logistic Regression
kmeans6__partition_agreement_count,partition_agreement_count,base,0.02779143375863557,Taxi,Logistic Regression
kmeans6__leaf_depth,leaf_depth,base,0.0,Taxi,Logistic Regression
kmeans7__dist_to_mean,dist_to_mean,point_based,0.2649221036062138,Taxi,Logistic Regression
kmeans7__normalized_dist,normalized_dist,point_based,0.1925275748277614,Taxi,Logistic Regression
kmeans7__cosine_dist,cosine_dist,point_based,0.15226385200834483,Taxi,Logistic Regression
kmeans7__dist_to_median,dist_to_median,point_based,0.6122284015289474,Taxi,Logistic Regression
kmeans7__log_likelihood,log_likelihood,point_based,0.5042514777735477,Taxi,Logistic Regression
kmeans7__local_outlier_factor_score,local_outlier_factor_score,point_based,0.0645341220647567,Taxi,Logistic Regression
kmeans7__knn_distance_k,knn_distance_k,point_based,0.39535800918569786,Taxi,Logistic Regression
kmeans7__out_of_range_count,out_of_range_count,point_based,1.6035482011602884,Taxi,Logistic Regression
kmeans7__mean_norm,mean_norm,marginal_statistical,0.0568768353640339,Taxi,Logistic Regression
kmeans7__std_norm,std_norm,marginal_statistical,0.08597140271842965,Taxi,Logistic Regression
kmeans7__skew_norm,skew_norm,marginal_statistical,0.27219525783346393,Taxi,Logistic Regression
kmeans7__kurtosis_norm,kurtosis_norm,marginal_statistical,0.15089285384097703,Taxi,Logistic Regression
kmeans7__median_abs_deviation_norm,median_abs_deviation_norm,marginal_statistical,0.0624657868469403,Taxi,Logistic Regression
kmeans7__iqr_norm,iqr_norm,marginal_statistical,0.034301481175826154,Taxi,Logistic Regression
kmeans7__trimmed_mean_norm,trimmed_mean_norm,marginal_statistical,0.03981386259447925,Taxi,Logistic Regression
kmeans7__cell_entropy,cell_entropy,marginal_informational,0.011888584334749932,Taxi,Logistic Regression
kmeans7__marginal_entropy_mean,marginal_entropy_mean,marginal_informational,0.011888584334749932,Taxi,Logistic Regression
kmeans7__marginal_entropy_std,marginal_entropy_std,marginal_informational,0.008428543977260169,Taxi,Logistic Regression
kmeans7__marginal_kl_to_reference_mean,marginal_kl_to_reference_mean,marginal_informational,0.027035644622693554,Taxi,Logistic Regression
kmeans7__quantile_surprisal_mean,quantile_surprisal_mean,marginal_informational,0.06591555308135402,Taxi,Logistic Regression
