dataset,group,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,classifier_spread
MVx6,marginal_statistical,Logistic Regression,0.7978,0.004016217125604659,0.85626,0.0029534725324607217,0.7297399999999999,0.004073450625698052,0.008099999999999996
MVx6,marginal_statistical,MLP,0.7812,0.003300000000000003,0.8429,0.002678619047195807,0.6955600000000001,0.004744259689350886,0.009000000000000008
MVx6,marginal_statistical,Random Forest,0.78888,0.0023155992744859633,0.84982,0.0014024977718342527,0.71908,0.002589787636081397,0.0050000000000000044
MVx6,point_based,Logistic Regression,0.78436,0.0049140614566771795,0.8481400000000001,0.0028236501199688457,0.68548,0.003775844276449933,0.012400000000000078
MVx6,point_based,MLP,0.7722,0.004005621050473952,0.82652,0.002781546332527929,0.6819200000000001,0.0028804513535208545,0.010099999999999998
MVx6,point_based,Random Forest,0.78736,0.0050247387991815134,0.8489599999999999,0.0030599019592137365,0.7031,0.006323369355019525,0.011299999999999977
Taxi,all,Logistic Regression,0.99802,0.0012676750372236749,0.99696,0.0019882152800942006,0.9919399999999999,0.0032090497035726926,0.0032000000000000917
Taxi,all,MLP,0.9975400000000001,0.0011371015785759813,0.9966000000000002,0.0018439088914585628,0.9785,0.012326394444443207,0.0027000000000000357
Taxi,all,Random Forest,0.9957,0.0011979148550710862,0.9953200000000001,0.0014788509052639364,0.9784599999999999,0.003972782400283193,0.0031999999999999806
Taxi,base,Logistic Regression,0.79322,0.015436223631445601,0.80928,0.017737728152161975,0.69224,0.017980906539994044,0.036900000000000044
Taxi,base,MLP,0.83058,0.012956156837581135,0.8606,0.012886038956948724,0.74126,0.015127392372778601,0.0363
Taxi,base,Random Forest,0.8368399999999999,0.019160454065600865,0.84514,0.018649879356178154,0.7590600000000001,0.021227882607551783,0.050000000000000044
Taxi,interaction_informational,Logistic Regression,0.73738,0.03070573236384372,0.74134,0.027486232917589854,0.6593600000000001,0.03152424463805594,0.0686
Taxi,interaction_informational,MLP,0.72398,0.014527800934759546,0.72462,0.01856507473725866,0.6658999999999999,0.013738631664034067,0.03620000000000001
Taxi,interaction_informational,Random Forest,0.75602,0.014261206120100773,0.75078,0.017104005378857916,0.68204,0.0181556602744158,0.031100000000000017
Taxi,interaction_statistical,Logistic Regression,0.83392,0.008663255739039475,0.83622,0.01243450843419228,0.74552,0.008860981886901704,0.02080000000000004
Taxi,interaction_statistical,MLP,0.9212199999999999,0.009094063998015397,0.92492,0.006897245827139976,0.8410399999999999,0.009457166594704818,0.024399999999999977
Taxi,interaction_statistical,Random Forest,0.9066599999999999,0.004900816258543029,0.9062000000000001,0.005904659177293774,0.81982,0.007575420780392325,0.012799999999999923
Taxi,marginal_informational,Logistic Regression,0.7436999999999999,0.01681294144401865,0.73952,0.022227842900290614,0.67908,0.015722022770623373,0.044399999999999995
Taxi,marginal_informational,MLP,0.7146,0.004628714724413279,0.71558,0.016777574318118795,0.6452199999999999,0.011030956440853154,0.010600000000000054
Taxi,marginal_informational,Random Forest,0.75684,0.01330499906050355,0.75224,0.015062967835058247,0.68776,0.019395437607849984,0.028900000000000037
Taxi,marginal_statistical,Logistic Regression,0.76734,0.01210632066319078,0.7639199999999999,0.01498589336676328,0.6955,0.014252368224263644,0.029000000000000026
Taxi,marginal_statistical,MLP,0.7297399999999999,0.01615512302645819,0.73334,0.01870008021373171,0.66008,0.02030706773515075,0.03739999999999999
Taxi,marginal_statistical,Random Forest,0.75492,0.014215906583823601,0.7466200000000001,0.015386910021183593,0.68532,0.016897396249126652,0.03299999999999992
Taxi,point_based,Logistic Regression,0.99696,0.0009071934744033478,0.9957799999999999,0.0019370080020485105,0.98568,0.0038245261144356393,0.0023000000000000798
Taxi,point_based,MLP,0.99718,0.0008167006795638185,0.99534,0.001719883716999488,0.98528,0.0034492028064467403,0.0020999999999999908
Taxi,point_based,Random Forest,0.99606,0.0007765307463327006,0.9952,0.0012767145334803295,0.98282,0.002368966019173718,0.0019000000000000128
