fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,group,group_label,n_meta_features,seed
1,MLP,0.9674,0.9585,0.9048,0.9096,0.8992,0.9043,Electricity,interaction_statistical,Interaction statistical,6,42
2,Logistic Regression,0.9598,0.9512,0.8982,0.8591,0.9531,0.9037,Electricity,interaction_statistical,Interaction statistical,6,42
2,Random Forest,0.975,0.9683,0.915,0.8812,0.9596,0.9187,Electricity,interaction_statistical,Interaction statistical,6,42
2,MLP,0.9686,0.9622,0.9083,0.9074,0.9096,0.9085,Electricity,interaction_statistical,Interaction statistical,6,42
3,Logistic Regression,0.9579,0.942,0.8972,0.855,0.9571,0.9032,Electricity,interaction_statistical,Interaction statistical,6,42
3,Random Forest,0.975,0.9685,0.9213,0.8868,0.9661,0.9247,Electricity,interaction_statistical,Interaction statistical,6,42
3,MLP,0.9665,0.9568,0.909,0.893,0.9296,0.911,Electricity,interaction_statistical,Interaction statistical,6,42
4,Logistic Regression,0.9559,0.9366,0.897,0.8647,0.9416,0.9015,Electricity,interaction_statistical,Interaction statistical,6,42
4,Random Forest,0.9745,0.9683,0.9175,0.8878,0.9561,0.9207,Electricity,interaction_statistical,Interaction statistical,6,42
4,MLP,0.9655,0.9542,0.9127,0.898,0.9316,0.9145,Electricity,interaction_statistical,Interaction statistical,6,42
5,Logistic Regression,0.9558,0.9449,0.8942,0.8571,0.9466,0.8996,Electricity,interaction_statistical,Interaction statistical,6,42
5,Random Forest,0.9745,0.9695,0.915,0.8826,0.9575,0.9185,Electricity,interaction_statistical,Interaction statistical,6,42
5,MLP,0.9683,0.9622,0.9087,0.9018,0.9176,0.9096,Electricity,interaction_statistical,Interaction statistical,6,42
1,Logistic Regression,0.9368,0.9207,0.8643,0.843,0.8957,0.8686,Electricity,interaction_informational,Interaction informational,5,42
1,Random Forest,0.9623,0.9514,0.904,0.8897,0.9226,0.9059,Electricity,interaction_informational,Interaction informational,5,42
1,MLP,0.9602,0.9489,0.902,0.8994,0.9056,0.9025,Electricity,interaction_informational,Interaction informational,5,42
2,Logistic Regression,0.9346,0.9223,0.861,0.832,0.9051,0.867,Electricity,interaction_informational,Interaction informational,5,42
2,Random Forest,0.9602,0.9448,0.8995,0.8728,0.9356,0.9031,Electricity,interaction_informational,Interaction informational,5,42
2,MLP,0.9613,0.9478,0.9005,0.8834,0.9231,0.9028,Electricity,interaction_informational,Interaction informational,5,42
3,Logistic Regression,0.9417,0.9221,0.8922,0.8356,0.977,0.9008,Electricity,interaction_informational,Interaction informational,5,42
3,Random Forest,0.9575,0.9379,0.9015,0.8862,0.9216,0.9036,Electricity,interaction_informational,Interaction informational,5,42
3,MLP,0.9577,0.9479,0.8948,0.8763,0.9196,0.8974,Electricity,interaction_informational,Interaction informational,5,42
4,Logistic Regression,0.9397,0.9149,0.8782,0.8549,0.9116,0.8823,Electricity,interaction_informational,Interaction informational,5,42
4,Random Forest,0.961,0.9471,0.8998,0.8851,0.9191,0.9018,Electricity,interaction_informational,Interaction informational,5,42
4,MLP,0.9533,0.939,0.8888,0.876,0.9061,0.8908,Electricity,interaction_informational,Interaction informational,5,42
5,Logistic Regression,0.9311,0.9143,0.8637,0.839,0.9006,0.8687,Electricity,interaction_informational,Interaction informational,5,42
5,Random Forest,0.9582,0.9459,0.8965,0.8814,0.9166,0.8986,Electricity,interaction_informational,Interaction informational,5,42
5,MLP,0.9584,0.9508,0.8902,0.8792,0.9051,0.892,Electricity,interaction_informational,Interaction informational,5,42
1,Logistic Regression,0.9376,0.9053,0.8813,0.8387,0.9446,0.8885,Electricity,base,Base,5,42
1,Random Forest,0.9662,0.9544,0.9065,0.884,0.9361,0.9093,Electricity,base,Base,5,42
1,MLP,0.953,0.9358,0.8953,0.8786,0.9176,0.8977,Electricity,base,Base,5,42
2,Logistic Regression,0.9458,0.9351,0.8785,0.8319,0.9491,0.8867,Electricity,base,Base,5,42
2,Random Forest,0.964,0.9544,0.9015,0.8675,0.9481,0.906,Electricity,base,Base,5,42
2,MLP,0.9548,0.945,0.8855,0.8656,0.9131,0.8887,Electricity,base,Base,5,42
3,Logistic Regression,0.9454,0.9282,0.8898,0.8323,0.9765,0.8987,Electricity,base,Base,5,42
3,Random Forest,0.9597,0.9461,0.8978,0.8673,0.9396,0.902,Electricity,base,Base,5,42
3,MLP,0.9561,0.9413,0.8875,0.8689,0.9131,0.8905,Electricity,base,Base,5,42
4,Logistic Regression,0.9425,0.919,0.8822,0.8435,0.9391,0.8887,Electricity,base,Base,5,42
4,Random Forest,0.9684,0.9618,0.9107,0.8867,0.9421,0.9136,Electricity,base,Base,5,42
4,MLP,0.9608,0.9506,0.8968,0.8928,0.9021,0.8974,Electricity,base,Base,5,42
5,Logistic Regression,0.934,0.9087,0.877,0.8347,0.9406,0.8845,Electricity,base,Base,5,42
5,Random Forest,0.9687,0.961,0.9107,0.8831,0.9471,0.914,Electricity,base,Base,5,42
5,MLP,0.9574,0.9466,0.899,0.8744,0.9321,0.9023,Electricity,base,Base,5,42
1,Logistic Regression,0.9181,0.8282,0.8185,0.6599,0.909,0.7647,Income,all,all,36,42
1,Random Forest,0.9124,0.7975,0.8266,0.6869,0.8554,0.7619,Income,all,all,36,42
1,MLP,0.9043,0.7997,0.8112,0.6664,0.837,0.742,Income,all,all,36,42
2,Logistic Regression,0.9153,0.8169,0.8172,0.6571,0.9126,0.7641,Income,all,all,36,42
2,Random Forest,0.9115,0.7967,0.8243,0.6856,0.8467,0.7577,Income,all,all,36,42
2,MLP,0.9015,0.7911,0.8178,0.679,0.8314,0.7475,Income,all,all,36,42
3,Logistic Regression,0.9181,0.8208,0.8193,0.6598,0.9141,0.7664,Income,all,all,36,42
3,Random Forest,0.9156,0.8062,0.8322,0.6912,0.8722,0.7712,Income,all,all,36,42
3,MLP,0.9045,0.7932,0.8224,0.6925,0.8139,0.7483,Income,all,all,36,42
4,Logistic Regression,0.9169,0.8243,0.8186,0.6579,0.9182,0.7665,Income,all,all,36,42
4,Random Forest,0.9153,0.816,0.8231,0.6825,0.8497,0.757,Income,all,all,36,42
4,MLP,0.9031,0.8,0.8152,0.6787,0.8165,0.7412,Income,all,all,36,42
5,Logistic Regression,0.9184,0.8238,0.8188,0.6581,0.9182,0.7667,Income,all,all,36,42
5,Random Forest,0.9108,0.7929,0.8264,0.6847,0.8615,0.763,Income,all,all,36,42
5,MLP,0.9044,0.795,0.8155,0.6808,0.8113,0.7404,Income,all,all,36,42
1,Logistic Regression,0.8948,0.7928,0.7865,0.6174,0.8988,0.732,Income,point_based,Point-based,8,42
1,Random Forest,0.8925,0.7665,0.7983,0.6496,0.8212,0.7253,Income,point_based,Point-based,8,42
1,MLP,0.8879,0.7702,0.7963,0.6423,0.8396,0.7278,Income,point_based,Point-based,8,42
2,Logistic Regression,0.8909,0.7795,0.7786,0.6073,0.8983,0.7246,Income,point_based,Point-based,8,42
2,Random Forest,0.8972,0.7802,0.8084,0.6663,0.8201,0.7352,Income,point_based,Point-based,8,42
2,MLP,0.8891,0.7657,0.8019,0.6621,0.7951,0.7225,Income,point_based,Point-based,8,42
3,Logistic Regression,0.8949,0.7842,0.7883,0.6187,0.9049,0.7349,Income,point_based,Point-based,8,42
3,Random Forest,0.8938,0.7741,0.8035,0.6544,0.8354,0.7339,Income,point_based,Point-based,8,42
3,MLP,0.8906,0.7682,0.8045,0.6762,0.7623,0.7167,Income,point_based,Point-based,8,42
4,Logistic Regression,0.8937,0.7854,0.7853,0.6163,0.8957,0.7302,Income,point_based,Point-based,8,42
4,Random Forest,0.8943,0.7849,0.7992,0.6522,0.816,0.725,Income,point_based,Point-based,8,42
4,MLP,0.8867,0.7683,0.8004,0.6655,0.773,0.7152,Income,point_based,Point-based,8,42
5,Logistic Regression,0.8912,0.7784,0.7712,0.5982,0.8967,0.7177,Income,point_based,Point-based,8,42
5,Random Forest,0.8908,0.7661,0.7981,0.6455,0.8369,0.7289,Income,point_based,Point-based,8,42
5,MLP,0.8824,0.7594,0.7926,0.6444,0.8042,0.7155,Income,point_based,Point-based,8,42
1,Logistic Regression,0.9157,0.8278,0.8139,0.6512,0.9177,0.7618,Income,marginal_statistical,Marginal statistical,7,42
1,Random Forest,0.9086,0.7916,0.8245,0.6887,0.8375,0.7558,Income,marginal_statistical,Marginal statistical,7,42
1,MLP,0.9019,0.796,0.8172,0.691,0.7895,0.7369,Income,marginal_statistical,Marginal statistical,7,42
2,Logistic Regression,0.9166,0.818,0.8147,0.6501,0.9285,0.7647,Income,marginal_statistical,Marginal statistical,7,42
